iso3,year,healthcare_expenditure
PAK,2012,2.20038652
PAN,2012,6.74132681
PER,2012,4.73488665
PHL,2012,4.18
PLW,2012,11.4970541
PNG,2012,2.66693544
POL,2012,6.27
PRT,2012,9.65
PRY,2012,6.53144598
QAT,2012,1.74822152
ROU,2012,4.51
RUS,2012,4.94
RWA,2012,8.10667801
SAU,2012,3.98779702
SDN,2012,5.68827009
SEN,2012,4.26688004
SGP,2012,3.32783675
SLB,2012,4.87480497
SLE,2012,8.94355106
SLV,2012,8.60625362
SMR,2012,8.98883724
SRB,2012,9.32820415
STP,2012,6.47629499
SUR,2012,4.28435707
SVK,2012,7.54
SVN,2012,8.72
SWE,2012,10.74
SWZ,2012,7.82047606
SYC,2012,5.39592934
SYR,2012,3.04719615
TCD,2012,3.8560791
TGO,2012,4.80787134
THA,2012,3.5229404
TJK,2012,5.98
TKM,2012,3.36840105
TLS,2012,6.99215221
TON,2012,4.79517698
TTO,2012,4.63289499
TUN,2012,6.28984737
TUR,2012,4.44
TUV,2012,13.5962553
TZA,2012,5.01779366
UGA,2012,6.10853958
UKR,2012,7.12
URY,2012,8.06757545
USA,2012,16.11969566
UZB,2012,5.55
VCT,2012,4.45042276
VNM,2012,5.00178242
VUT,2012,3.9356277
WSM,2012,4.9883461
YEM,2012,5.19593525
ZAF,2012,8.00428867
ZMB,2012,4.04541731
ZWE,2012,6.91794872
AFG,2013,8.80596447
AGO,2013,2.73282695
ALB,2013,6.28286266
AND,2013,6.79964209
ARE,2013,3.50222182
ARG,2013,9.78097916
ARM,2013,10.32
ATG,2013,5.50909233
AUS,2013,8.75058746
AUT,2013,10.29
AZE,2013,3.23
BDI,2013,8.62834644
BEL,2013,10.57661152
BEN,2013,2.86880755
BFA,2013,5.56331587
BGD,2013,2.29574466
BGR,2013,7.14
BHR,2013,4.30853891
BHS,2013,5.59409571
BIH,2013,9.45
BLR,2013,5.7
BLZ,2013,4.43660116
BOL,2013,5.57465124
BRA,2013,7.9766016
BRB,2013,7.39825487
BRN,2013,1.898314
BTN,2013,3.70787191
BWA,2013,6.49913645
CAF,2013,4.76660204
CAN,2013,10.41174984
CHE,2013,10.37922478
CHL,2013,7.47552633
CHN,2013,4.71490669
CIV,2013,3.71773791
CMR,2013,3.63111043
COD,2013,3.34057522
COG,2013,1.94347155
COL,2013,7.01724052
COM,2013,5.10299349
CPV,2013,5.28994226
CRI,2013,7.68229342
CUB,2013,10.43099499
CYP,2013,6.93
CZE,2013,7.52132368
DEU,2013,10.99905777
DJI,2013,2.92013574
DMA,2013,5.34749842
DNK,2013,10.33
DOM,2013,4.91598225
DZA,2013,6.03576279
ECU,2013,6.88127422
EGY,2013,4.6710043
ERI,2013,4.97097206
ESP,2013,9.06397724
EST,2013,6.28062296
ETH,2013,4.07506514
FIN,2013,9.81
FJI,2013,3.20040679
FRA,2013,11.39603043
FSM,2013,12.10208416
GAB,2013,2.84087205
GBR,2013,9.87251186
GEO,2013,7.88
GHA,2013,4.59225416
GIN,2013,3.46108699
GMB,2013,3.91374874
GNB,2013,7.03943443
GNQ,2013,1.64174569
GRC,2013,8.43796444
GRD,2013,5.62652922
GTM,2013,5.77188921
GUY,2013,3.80231309
HND,2013,8.47723007
HRV,2013,6.43
HTI,2013,4.10524035
HUN,2013,7.23
IDN,2013,2.86934805
IND,2013,3.75
IRL,2013,10.27730751
IRN,2013,5.54722023
IRQ,2013,2.80868459
ISL,2013,8.18
ISR,2013,6.96
ITA,2013,8.78
JAM,2013,4.95443439
JOR,2013,7.16592407
JPN,2013,10.67
KAZ,2013,2.66
KEN,2013,4.93100405
KGZ,2013,8.19
KHM,2013,7.10386753
KIR,2013,9.53
KNA,2013,5.04429483
KOR,2013,6.15069818
KWT,2013,2.48789287
LAO,2013,2.39984965
LBN,2013,7.06795645
LBR,2013,7.09007835
LCA,2013,5.04967594
LKA,2013,3.69
LSO,2013,10.99592113
LTU,2013,6.13
LUX,2013,5.24
LVA,2013,5.41
MAR,2013,5.25540543
MCO,2013,4.57341814
MDA,2013,8.68
MDG,2013,3.75156283
MDV,2013,8.16
MEX,2013,5.80923605
MHL,2013,13.46883583
MKD,2013,6.72
MLI,2013,3.96750712
MLT,2013,8.5
MMR,2013,3.2
MNE,2013,8.47
MNG,2013,4.08932018
MOZ,2013,6.12585449
MRT,2013,2.86799884
MUS,2013,4.620821
MWI,2013,8.22379494
MYS,2013,3.51276922
NAM,2013,9.06448746
NER,2013,4.46636009
NGA,2013,3.4206934
NIC,2013,7.63869238
NLD,2013,10.58
