iso3,year,urbanisation_rate
PLW,2011,75.511
PNG,2011,13.0
POL,2011,60.78
PRI,2011,93.773
PRK,2011,60.557
PRT,2011,61.167
PRY,2011,59.584
PSE,2011,74.381
PYF,2011,60.889
QAT,2011,98.602
ROU,2011,53.96
RUS,2011,73.732
RWA,2011,16.938
SAU,2011,82.302
SDN,2011,33.207
SEN,2011,44.188
SGP,2011,100.0
SLB,2011,20.508
SLE,2011,39.248
SLV,2011,66.325
SMR,2011,95.961
SOM,2011,41.0
SRB,2011,55.215
SSD,2011,18.032
STP,2011,66.064
SUR,2011,66.276
SVK,2011,54.42
SVN,2011,52.883
SWE,2011,85.297
SWZ,2011,22.7
SYC,2011,53.72
SYR,2011,54.58
TCA,2011,90.668
TCD,2011,22.054
TGO,2011,38.032
THA,2011,44.698
TJK,2011,26.521
TKM,2011,48.825
TLS,2011,28.079
TON,2011,23.443
TTO,2011,53.836
TUN,2011,66.938
TUR,2011,71.402
TUV,2011,55.807
TZA,2011,28.798
UGA,2011,19.898
UKR,2011,68.689
URY,2011,94.612
USA,2011,80.944
UZB,2011,51.15
VCT,2011,49.356
VEN,2011,88.108
VIR,2011,94.761
VNM,2011,31.08
VUT,2011,24.561
WSM,2011,19.857
YEM,2011,32.364
ZAF,2011,62.746
ZMB,2011,39.851
ZWE,2011,33.015
ABW,2012,42.957
AFG,2012,24.16
AGO,2012,61.268
ALB,2012,54.33
AND,2012,88.631
ARE,2012,84.749
ARG,2012,91.121
ARM,2012,63.24
ASM,2012,87.42
ATG,2012,25.526
AUS,2012,85.402
AUT,2012,57.147
AZE,2012,53.883
BDI,2012,11.194
BEL,2012,97.744
BEN,2012,44.125
BFA,2012,25.767
BGD,2012,31.993
BGR,2012,72.975
BHR,2012,88.762
BHS,2012,82.532
BIH,2012,46.199
BLR,2012,75.697
BLZ,2012,45.246
BMU,2012,100.0
BOL,2012,67.315
BRA,2012,84.923
BRB,2012,31.553
BRN,2012,75.656
BTN,2012,36.371
BWA,2012,64.768
CAF,2012,39.388
CAN,2012,81.137
CHE,2012,73.653
CHL,2012,87.189
CHN,2012,51.765
CIV,2012,48.172
CMR,2012,52.769
COD,2012,41.082
COG,2012,64.169
COL,2012,78.701
COM,2012,28.123
CPV,2012,62.821
CRI,2012,73.946
CUB,2012,76.781
CYM,2012,100.0
CYP,2012,67.261
CZE,2012,73.197
DEU,2012,77.17
DJI,2012,77.138
DMA,2012,68.685
DNK,2012,87.142
DOM,2012,75.802
DZA,2012,68.915
ECU,2012,62.988
EGY,2012,42.946
ERI,2012,36.372
ESP,2012,78.902
EST,2012,67.974
ETH,2012,18.16
FIN,2012,84.841
FJI,2012,53.196
FRA,2012,78.878
FRO,2012,41.225
FSM,2012,22.324
GAB,2012,86.634
GBR,2012,81.837
GEO,2012,56.303
GHA,2012,52.073
GIB,2012,100.0
GIN,2012,34.255
GMB,2012,57.105
GNB,2012,40.908
GNQ,2012,69.0
GRC,2012,77.004
GRD,2012,35.869
GRL,2012,85.2
GTM,2012,49.0
GUM,2012,94.277
GUY,2012,26.4
HKG,2012,100.0
HND,2012,53.202
HRV,2012,55.506
HTI,2012,49.477
HUN,2012,69.678
IDN,2012,51.276
IMN,2012,52.046
IND,2012,31.634
IRL,2012,61.942
IRN,2012,71.755
IRQ,2012,69.432
ISL,2012,93.6
ISR,2012,91.96
ITA,2012,68.684
JAM,2012,54.132
JOR,2012,88.185
JPN,2012,91.148
KAZ,2012,56.973
KEN,2012,24.376
KGZ,2012,35.423
KHM,2012,21.037
KIR,2012,49.082
KNA,2012,31.062
KOR,2012,81.851
KWT,2012,100.0
LAO,2012,31.264
LBN,2012,87.636
LBR,2012,48.583
LBY,2012,78.512
LCA,2012,18.45
LIE,2012,14.367
LKA,2012,18.196
LSO,2012,25.704
LTU,2012,66.864
LUX,2012,89.249
LVA,2012,67.897
MAC,2012,100.0
MAR,2012,59.142
MCO,2012,100.0
MDA,2012,42.558
MDG,2012,33.227
MDV,2012,37.267
MEX,2012,78.405
MHL,2012,74.498
MKD,2012,57.125
MLI,2012,37.599
MLT,2012,94.211
MMR,2012,29.266
MNE,2012,64.804
MNG,2012,68.03
MNP,2012,91.108
MOZ,2012,32.846
MRT,2012,48.4
MUS,2012,41.332
MWI,2012,15.812
MYS,2012,72.275
NAM,2012,43.693
NCL,2012,68.024
NER,2012,16.212
NGA,2012,45.246
NIC,2012,57.309
NLD,2012,88.588
NOR,2012,79.874
NPL,2012,17.458
NRU,2012,100.0
NZL,2012,86.161
OMN,2012,77.564
PAK,2012,35.408
PAN,2012,65.741
PER,2012,76.804
PHL,2012,45.712
PLW,2012,76.194
PNG,2012,12.982
POL,2012,60.654
PRI,2012,93.726
PRK,2012,60.738
PRT,2012,61.763
PRY,2012,59.907
PSE,2012,74.619
PYF,2012,61.459
QAT,2012,98.697
ROU,2012,53.974
RUS,2012,73.791
RWA,2012,16.943
SAU,2012,82.52
SDN,2012,33.346
SEN,2012,44.603
SGP,2012,100.0
SLB,2012,20.97
SLE,2012,39.642
SLV,2012,67.187
SMR,2012,96.171
SOM,2012,41.558
SRB,2012,55.356
SSD,2012,18.217
STP,2012,67.16
SUR,2012,66.208
SVK,2012,54.28
SVN,2012,53.108
SWE,2012,85.62
SWZ,2012,22.849
SYC,2012,54.12
SYR,2012,53.555
TCA,2012,91.09
TCD,2012,22.142
TGO,2012,38.546
THA,2012,45.445
TJK,2012,26.545
TKM,2012,49.175
TLS,2012,28.428
TON,2012,23.435
TTO,2012,53.671
TUN,2012,67.218
TUR,2012,71.974
TUV,2012,56.815
TZA,2012,29.493
UGA,2012,20.424
UKR,2012,68.782
URY,2012,94.739
USA,2012,81.119
UZB,2012,51.05
VCT,2012,49.754
VEN,2012,88.123
VIR,2012,94.919
VNM,2012,31.752
VUT,2012,24.661
WSM,2012,19.624
YEM,2012,32.958
ZAF,2012,63.272
ZMB,2012,40.354
ZWE,2012,32.834
ABW,2013,42.99
AFG,2013,24.373
AGO,2013,62.002
ALB,2013,55.387
AND,2013,88.537
ARE,2013,85.066
ARG,2013,91.249
ARM,2013,63.164
ASM,2013,87.348
ATG,2013,25.35
AUS,2013,85.502
AUT,2013,57.336
AZE,2013,54.145
BDI,2013,11.482
BEL,2013,97.789
BEN,2013,44.642
BFA,2013,26.346
BGD,2013,32.762
BGR,2013,73.313
BHR,2013,88.835
BHS,2013,82.596
BIH,2013,46.519
BLR,2013,76.199
BLZ,2013,45.282
BMU,2013,100.0
BOL,2013,67.699
BRA,2013,85.209
BRB,2013,31.429
BRN,2013,75.997
BTN,2013,37.149
BWA,2013,65.572
CAF,2013,39.663
CAN,2013,81.178
CHE,2013,73.674
CHL,2013,87.246
CHN,2013,53.013
CIV,2013,48.593
CMR,2013,53.373
COD,2013,41.627
COG,2013,64.627
COL,2013,79.061
COM,2013,28.223
CPV,2013,63.317
CRI,2013,74.97
CUB,2013,76.827
CYM,2013,100.0
CYP,2013,67.137
CZE,2013,73.29
DEU,2013,77.18
DJI,2013,77.222
DMA,2013,68.982
DNK,2013,87.292
DOM,2013,76.749
DZA,2013,69.576
ECU,2013,63.125
EGY,2013,42.893
ERI,2013,36.979
ESP,2013,79.133
EST,2013,68.122
ETH,2013,18.575
FIN,2013,85.125
FJI,2013,53.706
FRA,2013,79.135
FRO,2013,41.363
FSM,2013,22.355
GAB,2013,87.156
GBR,2013,82.102
GEO,2013,56.685
GHA,2013,52.748
GIB,2013,100.0
GIN,2013,34.545
GMB,2013,57.82
GNB,2013,41.31
GNQ,2013,69.544
GRC,2013,77.355
GRD,2013,35.896
GRL,2013,85.551
GTM,2013,49.311
GUM,2013,94.364
GUY,2013,26.4
HKG,2013,100.0
HND,2013,53.858
HRV,2013,55.706
HTI,2013,50.46
HUN,2013,69.953
IDN,2013,51.955
IMN,2013,52.096
IND,2013,32.003
IRL,2013,62.141
IRN,2013,72.295
IRQ,2013,69.595
ISL,2013,93.633
ISR,2013,92.031
ITA,2013,68.979
JAM,2013,54.35
JOR,2013,89.125
JPN,2013,91.226
KAZ,2013,57.046
KEN,2013,24.794
KGZ,2013,35.517
KHM,2013,21.415
KIR,2013,49.927
KNA,2013,30.964
KOR,2013,81.779
KWT,2013,100.0
LAO,2013,31.872
LBN,2013,87.79
LBR,2013,48.985
LBY,2013,78.756
LCA,2013,18.461
LIE,2013,14.334
LKA,2013,18.198
LSO,2013,26.101
LTU,2013,66.986
LUX,2013,89.574
LVA,2013,67.925
MAC,2013,100.0
MAR,2013,59.7
MCO,2013,100.0
MDA,2013,42.527
MDG,2013,33.878
MDV,2013,37.685
MEX,2013,78.699
MHL,2013,74.946
MKD,2013,57.189
MLI,2013,38.398
MLT,2013,94.279
MMR,2013,29.457
MNE,2013,65.137
MNG,2013,68.097
MNP,2013,91.19
MOZ,2013,33.36
MRT,2013,49.306
MUS,2013,41.222
MWI,2013,15.966
MYS,2013,72.93
NAM,2013,44.756
NCL,2013,68.479
NER,2013,16.208
NGA,2013,46.118
NIC,2013,57.505
NLD,2013,89.187
NOR,2013,80.286
NPL,2013,17.815
NRU,2013,100.0
NZL,2013,86.221
OMN,2013,78.882
PAK,2013,35.613
PAN,2013,66.052
PER,2013,76.989
PHL,2013,45.903
PLW,2013,76.862
PNG,2013,12.978
POL,2013,60.529
PRI,2013,93.686
PRK,2013,60.918
PRT,2013,62.352
PRY,2013,60.197
PSE,2013,74.863
PYF,2013,61.583
QAT,2013,98.785
ROU,2013,53.937
RUS,2013,73.863
RWA,2013,16.947
SAU,2013,82.74
SDN,2013,33.507
SEN,2013,45.019
SGP,2013,100.0
SLB,2013,21.433
SLE,2013,40.036
SLV,2013,68.036
SMR,2013,96.37
SOM,2013,42.117
SRB,2013,55.469
SSD,2013,18.415
STP,2013,68.208
SUR,2013,66.14
SVK,2013,54.14
SVN,2013,53.332
SWE,2013,85.936
SWZ,2013,22.999
SYC,2013,54.537
SYR,2013,52.529
TCA,2013,91.483
TCD,2013,22.248
TGO,2013,39.061
THA,2013,46.193
TJK,2013,26.589
TKM,2013,49.541
TLS,2013,28.779
TON,2013,23.382
TTO,2013,53.53
TUN,2013,67.495
TUR,2013,72.531
TUV,2013,57.814
TZA,2013,30.196
UGA,2013,20.958
UKR,2013,68.875
URY,2013,94.843
USA,2013,81.299
UZB,2013,50.95
VCT,2013,50.154
VEN,2013,88.133
VIR,2013,95.07
VNM,2013,32.429
VUT,2013,24.761
WSM,2013,19.385
YEM,2013,33.559
ZAF,2013,63.793
ZMB,2013,40.865
ZWE,2013,32.654
ABW,2014,43.041
AFG,2014,24.587
AGO,2014,62.731
ALB,2014,56.423
