iso3,year,population
MDA,2012,3482629
BRB,2012,276947
CIV,2012,23467082
GRD,2012,112791
GRC,2012,11048294
COK,2012,17689
SMR,2012,33494
SPM,2012,6019
MNE,2012,633549
FSM,2012,107908
MAF,2012,37298
YEM,2012,28433654
CRI,2012,4663932
MSR,2012,4822
LCA,2012,172595
GLP,2012,409153
ARM,2012,2922528
ASM,2012,54505
VCT,2012,108754
JEY,2012,98926
MMR,2012,49837450
TUR,2012,75197195
VUT,2012,248893
VAT,2012,612
PHL,2012,100175512
MKD,2012,2027288
BEL,2012,11107524
FRO,2012,48112
ATG,2012,87275
ECU,2012,15572194
PRK,2012,25211737
POL,2012,38247868
TLS,2012,1134888
NIU,2012,1784
FJI,2012,914919
PRT,2012,10513154
FLK,2012,3223
NGA,2012,176200628
MNP,2012,53252
EGY,2012,93161001
AIA,2012,13401
PLW,2012,17791
EST,2012,1322616
PAN,2012,3759260
GNQ,2012,1293484
PAK,2012,207667129
SWZ,2012,1123869
PNG,2012,8081396
SLV,2012,6113976
OMN,2012,3547106
BLZ,2012,334420
ETH,2012,95798770
PRY,2012,5897011
TKM,2012,5808547
NOR,2012,5018456
PER,2012,29550366
FIN,2012,5413978
DOM,2012,10070410
PRI,2012,3646422
GAB,2012,1846893
TUN,2012,11009650
COD,2012,73254623
NPL,2012,27534917
RWA,2012,10829904
BLM,2012,9227
NRU,2012,10289
BLR,2012,9463075
GMB,2012,2043099
CZE,2012,10507338
NAM,2012,2194657
UZB,2012,29261908
GEO,2012,3839208
VEN,2012,29553828
SHN,2012,5428
PSE,2012,4215318
RUS,2012,144291024
NLD,2012,16915191
BEN,2012,10397662
AGO,2012,25177399
NER,2012,17836770
FRA,2012,64058465
QAT,2012,1907121
NIC,2012,5901290
GUF,2012,245784
DMA,2012,69134
AND,2012,76858
TCA,2012,32152
NZL,2012,4411682
DJI,2012,966753
PYF,2012,273093
ROU,2012,20158452
NCL,2012,271640
ARG,2012,42161718
DNK,2012,5591912
REU,2012,845062
COG,2012,4740456
UGA,2012,34337433
SSD,2012,10756244
TKL,2012,1681
ALB,2012,2910003
CMR,2012,20809531
ESP,2012,47018321
LBY,2012,6179328
BHR,2012,1216308
IDN,2012,252698526
LBR,2012,4373045
KHM,2012,14945090
LKA,2012,21169461
ARE,2012,7497124
LSO,2012,2034363
IRN,2012,79370583
BDI,2012,10071034
SDN,2012,36923176
IND,2012,1278674506
LBN,2012,5235744
LIE,2012,36620
WLF,2012,12709
MDG,2012,23462444
VIR,2012,104307
HKG,2012,7201060
SOM,2012,12461164
ZWE,2012,13817886
MAC,2012,587451
CPV,2012,511966
HUN,2012,9916620
ZAF,2012,53782569
LUX,2012,530952
KOR,2012,49599579
ISL,2012,320847
LTU,2012,2988334
CAN,2012,34922512
AUT,2012,8431598
MYT,2012,219008
CYM,2012,57153
IRQ,2012,33654841
BFA,2012,17172283
TGO,2012,7100743
BRA,2012,196876114
KEN,2012,43888306
TJK,2012,8014087
JAM,2012,2772431
GBR,2012,63960487
KAZ,2012,17306114
BHS,2012,375474
BWA,2012,2108614
TZA,2012,47374259
JOR,2012,7587134
JPN,2012,127928283
ESH,2012,441033
BIH,2012,3670108
THA,2012,69436091
ITA,2012,60531522
SUR,2012,562640
KIR,2012,112293
BRN,2012,405566
LVA,2012,2034639
IRL,2012,4600137
BOL,2012,10515813
SWE,2012,9519479
LAO,2012,6518981
USA,2012,317115348
IMN,2012,84353
AZE,2012,9376181
BGR,2012,7317021
CHE,2012,7998927
KGZ,2012,5696519
SYR,2012,22759763
KWT,2012,3337025
ISR,2012,7607784
AFG,2012,30560036
TWN,2012,23345962
SLB,2012,573622
ERI,2012,3036999
VNM,2012,89510357
MLT,2012,426616
SGP,2012,5293344
UKR,2012,46210051
SEN,2012,13310499
GNB,2012,1651425
MRT,2012,3619035
MDV,2012,386822
SVK,2012,5404877
BTN,2012,717288
TCD,2012,13211007
AUS,2012,22852649
DZA,2012,37646164
GUY,2012,746297
CHL,2012,17519114
MLI,2012,16957039
GGY,2012,61881
BGD,2012,155070111
SRB,2012,7324624
COL,2012,45715807
GTM,2012,15089639
MTQ,2012,391741
CHN,2012,1369520865
CAF,2012,4610848
MYS,2012,29662835
SAU,2012,27062447
GUM,2012,166347
SVN,2012,2053321
SYC,2012,99565
GIN,2012,10921581
MWI,2012,15709576
HTI,2012,10069769
HND,2012,8715080
MUS,2012,1289174
TON,2012,107476
SLE,2012,6551077
MHL,2012,51438
COM,2012,681637
VNM,2013,90573104
BGR,2013,7264606
VAT,2013,598
ASM,2013,54026
SYC,2013,102108
BLZ,2013,341633
SYR,2013,21666920
AFG,2013,31622708
CHE,2013,8091197
ECU,2013,15807130
CHN,2013,1379008046
PHL,2013,102076337
WSM,2013,198282
TGO,2013,7285448
CYM,2013,58678
TUR,2013,76403032
BRN,2013,411206
PSE,2013,4315264
AIA,2013,13272
THA,2013,69845115
BIH,2013,3610858
SAU,2013,28026826
GNQ,2013,1346220
COM,2013,696202
PAN,2013,3825332
TZA,2013,48824134
COG,2013,4857106
BMU,2013,63594
BWA,2013,2140687
SRB,2013,7276184
PNG,2013,8302700
TJK,2013,8216734
SEN,2013,13710857
COL,2013,46151584
BRA,2013,198478291
ESH,2013,457437
SMR,2013,33641
PRY,2013,5982446
POL,2013,38259266
TWN,2013,23416869
EGY,2013,95333551
COK,2013,17626
PER,2013,29817909
SLV,2013,6138845
TLS,2013,1158695
SUR,2013,569025
TON,2013,107092
SSD,2013,11166276
TCD,2013,13691081
LCA,2013,173380
SVK,2013,5410422
RUS,2013,144604102
ALB,2013,2907570
COD,2013,75789395
TKL,2013,1749
KOR,2013,50071168
RWA,2013,11093340
BEN,2013,10708831
CZE,2013,10511164
CAN,2013,35293420
CUB,2013,11298163
ZAF,2013,54678790
VEN,2013,29912196
BLM,2013,9343
KNA,2013,47092
AND,2013,75220
CAF,2013,4642424
SOM,2013,12869599
SVN,2013,2056452
BTN,2013,725283
CPV,2013,512232
SHN,2013,5462
CYP,2013,1183899
SLB,2013,594952
HRV,2013,4242404
DNK,2013,5615334
TUN,2013,11141365
ROU,2013,20062914
BOL,2013,10682612
CRI,2013,4716153
SLE,2013,6714057
ZWE,2013,14013810
PRT,2013,10458286
AGO,2013,26165616
VCT,2013,108156
DOM,2013,10193837
BFA,2013,17695412
DZA,2013,38414176
PRI,2013,3606771
SDN,2013,37785854
CHL,2013,17687006
SWE,2013,9600621
BDI,2013,10439345
TTO,2013,1412658
SPM,2013,5999
QAT,2013,2032650
LKA,2013,21358829
SGP,2013,5385589
KHM,2013,15170212
DJI,2013,984832
WLF,2013,12499
ESP,2013,46860393
REU,2013,847599
CIV,2013,23939775
MAF,2013,37436
CMR,2013,21402379
DMA,2013,69733
STP,2013,193157
LBY,2013,6304636
GUF,2013,253249
LBR,2013,4470245
UZB,2013,29724066
GRD,2013,113498
GAB,2013,1913061
NPL,2013,27589997
MWI,2013,16161817
LSO,2013,2056508
FSM,2013,108133
ARG,2013,42582454
BLR,2013,9464454
NLD,2013,16967065
UKR,2013,46126762
IRN,2013,80414688
URY,2013,3345335
MDA,2013,3408741
GLP,2013,408367
