SpatialDim,TimeDim,NumericValue
BOL,2013,50295.0
BOL,2014,52397.94
BOL,2015,54334.1
BOL,2016,56815.64
BOL,2017,58559.85
BOL,2018,60715.36
BOL,2019,62808.35
BRA,2000,685298.0
BRA,2001,697584.9
BRA,2002,711756.1
BRA,2003,726864.3
BRA,2004,747752.6
BRA,2005,736493.9
BRA,2006,756838.9
BRA,2007,771378.4
BRA,2008,792714.3
BRA,2009,809273.1
BRA,2010,836908.9
BRA,2011,863249.8
BRA,2012,866495.8
BRA,2013,886659.6
BRA,2014,897903.1
BRA,2015,930426.2
BRA,2016,964011.6
BRA,2017,971470.8
BRA,2018,1006769.0
BRA,2019,1025708.0
BRB,2000,2141.394
BRB,2001,2148.859
BRB,2002,2219.554
BRB,2003,2294.218
BRB,2004,2326.917
BRB,2005,2307.093
BRB,2006,2334.825
BRB,2007,2404.647
BRB,2008,2414.649
BRB,2009,2378.381
BRB,2010,2389.662
BRB,2011,2423.938
BRB,2012,2425.251
BRB,2013,2478.948
BRB,2014,2518.126
BRB,2015,2537.85
BRB,2016,2600.751
BRB,2017,2640.306
BRB,2018,2709.733
BRB,2019,2831.858
BRN,2000,910.6666
BRN,2001,940.8339
BRN,2002,978.213
BRN,2003,1009.573
BRN,2004,1030.223
BRN,2005,1048.079
BRN,2006,1081.545
BRN,2007,1099.624
BRN,2008,1131.553
BRN,2009,1157.927
BRN,2010,1184.707
BRN,2011,1238.608
BRN,2012,1296.421
BRN,2013,1357.713
BRN,2014,1417.04
BRN,2015,1486.683
BRN,2016,1575.936
BRN,2017,1698.95
BRN,2018,1803.666
BRN,2019,1892.072
BTN,2000,1906.281
BTN,2001,1964.04
BTN,2002,2002.584
BTN,2003,2057.292
BTN,2004,2096.344
BTN,2005,2140.16
BTN,2006,2202.51
BTN,2007,2264.344
BTN,2008,2314.379
BTN,2009,2369.432
BTN,2010,2413.174
BTN,2011,2496.233
BTN,2012,2596.054
BTN,2013,2694.105
BTN,2014,2788.086
BTN,2015,2875.878
BTN,2016,2951.324
BTN,2017,3099.282
BTN,2018,3197.143
BTN,2019,3294.848
BWA,2000,7730.428
BWA,2001,7919.906
BWA,2002,7954.413
BWA,2003,7994.836
BWA,2004,8140.353
BWA,2005,8327.49
BWA,2006,8197.852
BWA,2007,8050.188
BWA,2008,8101.141
BWA,2009,7738.597
BWA,2010,7704.513
BWA,2011,7944.241
BWA,2012,8230.929
BWA,2013,8424.672
BWA,2014,8565.992
BWA,2015,8713.649
BWA,2016,8850.727
BWA,2017,9137.92
BWA,2018,9454.808
BWA,2019,9442.871
CAF,2000,18876.87
CAF,2001,18697.98
CAF,2002,18903.57
CAF,2003,18775.82
CAF,2004,18538.23
CAF,2005,18317.46
CAF,2006,18989.43
CAF,2007,19068.82
CAF,2008,19055.89
CAF,2009,19580.48
CAF,2010,19411.16
CAF,2011,19399.55
CAF,2012,19202.97
