SpatialDim,TimeDim,NumericValue
COD,2007,719.0803
COD,2008,719.349
COD,2009,726.057
COD,2010,719.6951
COD,2011,710.6475
COD,2012,699.3483
COD,2013,685.326
COD,2014,675.0063
COD,2015,661.028
COD,2016,650.264
COD,2017,648.6177
COD,2018,656.0077
COD,2019,652.8545
COG,2000,946.3993
COG,2001,891.7404
COG,2002,848.2569
COG,2003,827.3393
COG,2004,824.3923
COG,2005,807.1947
COG,2006,798.3703
COG,2007,785.3489
COG,2008,773.6809
COG,2009,772.3555
COG,2010,758.4731
COG,2011,745.1494
COG,2012,746.6352
COG,2013,729.5904
COG,2014,712.2509
COG,2015,685.2198
COG,2016,676.2205
COG,2017,661.8171
COG,2018,651.4636
COG,2019,642.8678
COL,2000,422.4111
COL,2001,414.4078
COL,2002,403.9541
COL,2003,412.2277
COL,2004,400.3552
COL,2005,398.3766
COL,2006,393.9385
COL,2007,381.9184
COL,2008,380.5569
COL,2009,358.0585
COL,2010,362.6839
COL,2011,343.6958
COL,2012,339.8121
COL,2013,336.5121
COL,2014,342.4632
COL,2015,346.5577
COL,2016,337.0512
COL,2017,333.5849
COL,2018,328.5183
COL,2019,326.0131
COM,2000,687.2599
COM,2001,675.6813
COM,2002,660.4126
COM,2003,642.8845
COM,2004,631.1379
COM,2005,624.974
COM,2006,616.9165
COM,2007,615.2984
COM,2008,616.9809
COM,2009,603.6506
COM,2010,603.1049
COM,2011,598.5634
COM,2012,596.2769
COM,2013,591.3012
COM,2014,601.8677
COM,2015,597.7139
COM,2016,593.3433
COM,2017,587.7971
COM,2018,581.3818
COM,2019,577.9128
CPV,2000,479.1217
CPV,2001,476.252
CPV,2002,472.999
CPV,2003,469.6175
CPV,2004,467.4895
CPV,2005,467.5992
CPV,2006,442.2188
CPV,2007,432.4218
CPV,2008,431.792
CPV,2009,430.5132
CPV,2010,427.677
CPV,2011,432.2863
CPV,2012,434.3043
CPV,2013,429.7941
CPV,2014,429.9197
CPV,2015,435.9541
CPV,2016,450.905
CPV,2017,454.0309
CPV,2018,517.7218
CPV,2019,512.8106
CRI,2000,409.9793
CRI,2001,414.4088
CRI,2002,376.7668
CRI,2003,383.9364
CRI,2004,387.8628
CRI,2005,349.9751
CRI,2006,359.098
CRI,2007,330.8498
CRI,2008,328.2635
CRI,2009,321.3982
CRI,2010,354.0905
CRI,2011,331.1617
CRI,2012,326.6177
CRI,2013,321.9832
CRI,2014,323.7229
CRI,2015,312.5879
CRI,2016,321.2185
CRI,2017,322.0474
CRI,2018,311.1019
CRI,2019,309.2164
CUB,2000,451.303
CUB,2001,452.8637
CUB,2002,420.8506
CUB,2003,438.8966
CUB,2004,442.6365
CUB,2005,454.505
CUB,2006,428.3308
CUB,2007,427.9943
CUB,2008,440.7111
CUB,2009,435.2164
CUB,2010,446.9096
CUB,2011,413.2498
CUB,2012,415.2168
CUB,2013,416.0881
CUB,2014,424.2946
CUB,2015,427.9116
CUB,2016,417.8109
CUB,2017,435.6466
CUB,2018,429.4151
CUB,2019,431.2169
CYP,2000,433.3034
CYP,2001,437.0521
CYP,2002,433.4324
CYP,2003,429.1366
CYP,2004,425.9886
CYP,2005,402.9899
CYP,2006,404.4281
CYP,2007,386.5593
CYP,2008,372.4622
CYP,2009,359.5821
CYP,2010,355.8325
CYP,2011,351.8823
CYP,2012,341.8869
CYP,2013,332.5227
CYP,2014,328.4655
CYP,2015,324.5235
CYP,2016,318.8215
CYP,2017,305.1727
CYP,2018,289.8578
CYP,2019,284.164
CZE,2000,603.1526
CZE,2001,595.5861
CZE,2002,595.981
CZE,2003,603.2551
CZE,2004,573.6269
CZE,2005,563.1205
CZE,2006,531.9721
CZE,2007,515.3429
CZE,2008,500.6822
CZE,2009,497.035
CZE,2010,483.4028
CZE,2011,476.2015
CZE,2012,469.91
CZE,2013,465.4432
CZE,2014,439.2887
CZE,2015,448.1576
CZE,2016,426.2185
CZE,2017,429.1614
CZE,2018,425.5738
CZE,2019,416.7531
DEU,2000,462.3202
DEU,2001,449.7099
DEU,2002,450.641
DEU,2003,451.8512
DEU,2004,428.0685
DEU,2005,420.6488
DEU,2006,405.5726
DEU,2007,397.3377
DEU,2008,395.3053
DEU,2009,390.5206
DEU,2010,383.9924
DEU,2011,372.111
DEU,2012,369.3531
DEU,2013,381.3582
DEU,2014,363.6909
DEU,2015,374.9515
DEU,2016,365.0966
DEU,2017,363.7444
DEU,2018,366.4172
DEU,2019,329.293
DJI,2000,634.7531
DJI,2001,625.3874
DJI,2002,627.3108
DJI,2003,628.5342
DJI,2004,631.6885
DJI,2005,627.1852
DJI,2006,622.8056
DJI,2007,617.2171
DJI,2008,614.4028
DJI,2009,614.3578
DJI,2010,618.7687
DJI,2011,619.3559
DJI,2012,618.7251
DJI,2013,621.9792
DJI,2014,619.0012
DJI,2015,612.498
DJI,2016,613.8499
DJI,2017,617.4306
DJI,2018,614.7856
DJI,2019,610.9455
DNK,2000,512.6339
DNK,2001,512.8628
DNK,2002,510.2013
DNK,2003,495.174
DNK,2004,477.5243
DNK,2005,461.1898
DNK,2006,460.6099
DNK,2007,450.8835
DNK,2008,438.2661
DNK,2009,433.0118
DNK,2010,423.008
DNK,2011,401.4984
DNK,2012,392.4547
DNK,2013,383.8298
DNK,2014,370.7118
DNK,2015,369.0484
DNK,2016,364.4044
DNK,2017,355.086
DNK,2018,358.3966
DNK,2019,342.9413
DOM,2000,393.1878
DOM,2001,385.2565
DOM,2002,388.0576
DOM,2003,406.6321
DOM,2004,421.7967
DOM,2005,437.4165
DOM,2006,450.691
DOM,2007,455.9575
DOM,2008,458.503
DOM,2009,465.5095
DOM,2010,461.3653
DOM,2011,469.9436
DOM,2012,491.1812
DOM,2013,514.05
DOM,2014,543.2272
DOM,2015,560.6918
DOM,2016,561.0871
DOM,2017,543.0046
DOM,2018,523.8926
DOM,2019,506.4565
DZA,2000,614.8163
DZA,2001,603.899
DZA,2002,591.8186
DZA,2003,566.7949
DZA,2004,555.9263
DZA,2005,542.8173
DZA,2006,530.4107
DZA,2007,518.4485
DZA,2008,507.7493
DZA,2009,498.4828
DZA,2010,487.8216
DZA,2011,481.4458
DZA,2012,474.7121
DZA,2013,468.8748
DZA,2014,464.4122
DZA,2015,460.686
DZA,2016,453.1556
DZA,2017,448.3381
DZA,2018,447.6672
DZA,2019,445.7562
ECU,2000,422.9123
ECU,2001,424.321
ECU,2002,450.0175
ECU,2003,449.234
ECU,2004,463.1761
ECU,2005,479.8215
ECU,2006,477.0811
ECU,2007,464.7892
ECU,2008,466.3833
ECU,2009,447.5203
ECU,2010,447.0049
ECU,2011,437.2645
ECU,2012,435.6141
ECU,2013,417.8376
ECU,2014,398.8374
ECU,2015,395.9943
ECU,2016,393.7679
ECU,2017,389.3566
ECU,2018,374.861
ECU,2019,364.6559
EGY,2000,714.1895
EGY,2001,746.2472
EGY,2002,760.3599
EGY,2003,787.3369
EGY,2004,768.8781
EGY,2005,760.7203
EGY,2006,756.2096
EGY,2007,751.8236
EGY,2008,759.0561
EGY,2009,766.4754
EGY,2010,772.979
EGY,2011,752.8554
EGY,2012,788.7341
EGY,2013,741.4087
EGY,2014,757.8838
EGY,2015,813.4011
EGY,2016,764.954
EGY,2017,732.5181
EGY,2018,734.5514
EGY,2019,733.7957
EMR,2000,734.6502
EMR,2001,736.3611
EMR,2002,735.6173
EMR,2003,736.374
EMR,2004,727.8195
EMR,2005,721.4701
EMR,2006,716.2059
EMR,2007,710.3787
EMR,2008,705.9935
EMR,2009,700.1999
EMR,2010,694.4518
EMR,2011,684.9088
EMR,2012,684.9261
EMR,2013,676.0737
EMR,2014,673.0426
EMR,2015,678.0953
EMR,2016,667.2064
EMR,2017,658.5721
EMR,2018,653.2585
EMR,2019,649.7101
ERI,2000,838.3307
ERI,2001,821.2214
ERI,2002,815.9656
ERI,2003,792.0897
ERI,2004,796.4029
ERI,2005,796.4568
ERI,2006,796.3832
ERI,2007,787.6928
ERI,2008,792.6536
ERI,2009,783.0221
ERI,2010,775.2514
ERI,2011,767.3051
ERI,2012,758.7238
ERI,2013,751.5022
ERI,2014,744.5029
ERI,2015,741.6771
ERI,2016,733.5047
ERI,2017,725.6213
ERI,2018,722.4801
ERI,2019,713.5643
ESP,2000,410.7521
ESP,2001,402.5581
ESP,2002,399.0127
ESP,2003,402.5764
ESP,2004,379.6921
ESP,2005,380.2927
ESP,2006,358.3868
ESP,2007,359.226
ESP,2008,349.8907
ESP,2009,340.8811
ESP,2010,331.769
ESP,2011,327.7519
ESP,2012,323.8132
ESP,2013,307.1517
ESP,2014,302.5145
ESP,2015,311.242
ESP,2016,296.013
ESP,2017,298.8669
ESP,2018,287.3876
ESP,2019,282.0769
EST,2000,707.8025
EST,2001,703.2022
EST,2002,698.7735
EST,2003,685.0561
EST,2004,665.3738
EST,2005,650.3095
EST,2006,639.5206
EST,2007,632.5781
EST,2008,597.0274
EST,2009,559.8829
EST,2010,538.7336
EST,2011,511.6393
EST,2012,508.3451
EST,2013,489.2373
EST,2014,486.9344
EST,2015,472.197
EST,2016,466.3476
