country,iso3,year,region,gdppc,pm25_concentration,population,co2_emissions_pc,healthcare_expenditure,life_expectancy,urbanisation_rate
Portugal,PRT,2008,Europe,24949.0413566739,6.76,10564085,5.6805115,9.58,79.2,59.359
Qatar,QAT,2008,Asia,79811.5977371757,22.1,1426942,43.195133,1.63775349,72.37,98.139
Republic of Congo,COG,2008,Africa,2848.6531631791,22.7,4113514,1.0381061,2.2392714,59.22,62.346
Romania,ROU,2008,Europe,10435.2179803541,12.07,20718744,5.160895,5.02,73.3,53.567
Russia,RUS,2008,Europe,11635.2841796875,11.92,143811835,11.487681,4.9,67.79,73.598
Rwanda,RWA,2008,Africa,529.529272024533,18.97,9804268,0.053835634,7.5670433,62.14,16.925
Saint Lucia,LCA,2008,North America,8528.68208470429,0.87,168815,2.517691,5.09061956,75.53,20.131
Saint Vincent and the Grenadines,VCT,2008,North America,6641.49587783512,0.61,111046,1.9797201,3.88194203,73.52,48.18
Samoa,WSM,2008,Oceania,3344.05455878019,0.1,190118,0.84797865,4.53258085,70.48,20.524
Sao Tome and Principe,STP,2008,Africa,1080.55656768454,8.82,173808,0.48485684,7.16872263,67.69,62.68
Saudi Arabia,SAU,2008,Asia,18944.859586127,12.21,23287883,20.169827,2.97100711,73.0,81.649
Senegal,SEN,2008,Africa,1419.5309032462,3.24,12048962,0.39341936,3.50687575,64.58,42.947
Serbia,SRB,2008,Europe,7101.04014116862,11.59,7454285,6.9460955,9.48246479,73.83,54.55
Seychelles,SYC,2008,Africa,11265.4376270005,0.46,92563,4.4729753,3.61745405,72.66,52.619
Sierra Leone,SLE,2008,Africa,402.553405463525,6.29,5894728,0.08577698,8.81158161,53.55,38.077
Singapore,SGP,2008,Asia,40008.5720489092,14.3,4806742,8.363253,3.19488454,80.98,100.0
Slovakia,SVK,2008,Europe,18753.5849413816,14.23,5379125,7.7244925,6.96,74.83,55.111
Slovenia,SVN,2008,Europe,27595.5999653992,12.03,2025090,9.025999,7.85,78.9,52.209
Solomon Islands,SLB,2008,Oceania,1504.52749470466,0.21,508802,0.6049033,5.50597048,64.06,19.138
