year,iso3,country,region,gdppc,pm25_concentration,population
2009,BGR,Bulgaria,Europe,6988.27316296465,9.64,7488018
2009,BFA,Burkina Faso,Africa,603.877545561486,4.27,15710065
2009,BDI,Burundi,Africa,204.544755595219,16.0,8947653
2009,KHM,Cambodia,Asia,734.815118652103,14.74,14276819
2009,CMR,Cameroon,Africa,1445.86024800164,12.55,19113979
2009,CAN,Canada,North America,40874.8831932903,6.35,33826369
2009,CPV,Cape Verde,Africa,3592.31587892127,1.18,506149
2009,CYM,Cayman Islands,North America,81398.3236004786,1.85,52638
2009,CAF,Central African Republic,Africa,452.922236469512,15.19,4529051
2009,TCD,Chad,Africa,808.161523513674,6.03,11893752
2009,CHL,Chile,South America,10204.5588537616,12.87,17009728
2009,CHN,China,Asia,3832.2274569094,43.99,1342522709
2009,COL,Colombia,South America,5245.95158468149,7.47,44271541
2009,COM,Comoros,Africa,1409.10667152145,1.69,641947
2009,CRI,Costa Rica,North America,6737.8607505315,2.82,4499788
2009,CIV,Cote d'Ivoire,Africa,1638.80468544921,9.21,21997937
2009,HRV,Croatia,Europe,14422.9198619352,12.13,4310537
2009,CUB,Cuba,North America,5094.43756186586,2.91,11294716
2009,CYP,Cyprus,Asia,32236.53515625,6.21,1109377
2009,CZE,Czech Republic,Europe,19861.6974295256,18.11,10420986
2009,COD,Dem. Rep. Congo,Africa,290.155675073525,20.04,66412040
2009,DNK,Denmark,Europe,58163.2768762815,8.21,5523168
2009,DJI,Djibouti,Africa,1164.25168346453,6.42,911523
2009,DMA,Dominica,North America,7109.9782527814,0.79,68881
2009,DOM,Dominican Republic,North America,5002.15316981585,2.79,9695269
2009,ECU,Ecuador,South America,4076.23494804164,7.7,14825961
2009,EGY,Egypt,Africa,2212.21814788932,7.35,87501636
2009,SLV,El Salvador,North America,2889.68588721937,7.07,6048284
2009,GNQ,Equatorial Guinea,Africa,14398.770485777,11.16,1135684
2009,ERI,Eritrea,Africa,602.063223832873,6.28,2887888
2009,EST,Estonia,Europe,14711.7352728223,8.24,1334528
2009,ETH,Ethiopia,Africa,373.893958712145,10.44,88007639
2009,FRO,Faeroe Islands,Europe,47410.9556269077,1.32,48512
2009,FJI,Fiji,Oceania,3184.68912291481,0.2,907247
2009,FIN,Finland,Europe,47481.4845364339,7.11,5338855
2009,FRA,France,Europe,41737.7635518137,11.6,63106461
2009,PYF,French Polynesia,Oceania,23326.0875573006,0.11,269496
2009,GAB,Gabon,Africa,7325.90951318545,14.47,1661566
2009,GMB,Gambia,Africa,772.124933818401,3.59,1871431
2009,GEO,Georgia,Asia,2822.68939668797,11.43,3918936
2009,DEU,Germany,Europe,41650.3678297162,12.42,80935275
2009,GHA,Ghana,Africa,1044.00498892672,12.78,24862668
2009,GRC,Greece,Europe,29828.7560245271,8.01,11108069
2009,GRL,Greenland,North America,44918.8413832155,0.77,56548
2009,GRD,Grenada,North America,6810.44031784436,0.63,111266
2009,GUM,Guam,Oceania,29335.2776765099,0.35,166188
2009,GTM,Guatemala,North America,2651.83174404335,9.43,14215615
2009,GIN,Guinea,Africa,670.261253626844,5.73,10143540
